userid,pazienti,prescrizioni
RXXNDJV,1575,1296
EKXNQDF,876,1295
9WKUYE8,1060,1291
A2UVZYM,927,1287
7RSRUBC,1075,1283
GWCCD5U,651,1279
A.I1Q9#,1138,1269
^!3;PK3,497,1265
HXYTQVJ,990,1260
YJ3RTT9,958,1249
^C]$+?V,1005,1235
XQJNDC5,756,1235
P8WR4C5,1429,1233
A=:IQ@O,968,1219
WYWFVBC,1308,1218
R4MUWZR,1322,1215
A:31C/.,796,1213
HB8GRS8,1385,1205
*#9!LNB,709,1187
A¶_8M4[,1155,1174
4WE9DGJ,1033,1174
A:GX+)¶,1457,1173
JGYFYE8,900,1159
6QPYQA2,1686,1146
PPWJDC5,1097,1142
A.G{1-K,924,1140
¶)V4TG9,1257,1138
¶IFI^MP,975,1129
"^N,_7&3",1212,1123
WHFKWDF,1500,1111
^¶YZ©M9,1228,1109
*;;=:.S,934,1104
A=P<T//,952,1103
KM9PRNA,1356,1095
NMK5WX6,615,1092
¶>YM*M3,1157,1085
6W7Y4MV,1507,1075
FS8Y4VJ,952,1072
A:}_O](,985,1068
XQWWU7B,901,1068
YJPSVT9,1197,1058
NF4VVJV,1261,1051
RN5TVZR,1456,1036
CQWXSKA,1372,1033
GFXW49E,565,1027
A=2(H9E,1098,1014
A==6Z*Q,829,1013
3RMFT7B,1110,1013
D5RE43Q,1417,1012
A:LKJMD,1307,1010
^*K(R|V,992,1004
AEGM69E,1380,1004
PF4TD2J,1512,1000
FCQURA2,1056,994
638RVE8,1169,984
YEKTDA2,1244,970
A=*GYG8,755,962
A=U|[XZ,783,962
YYN8R61,693,959
A=NW#{X,778,957
*)BE+NA,1083,949
AR4PTFM,1178,944
A=Q#I9C,793,938
A:>9$H?,727,933
QGGQSBC,1319,923
AETKFFM,612,920
"A.7(,.W",877,920
A:1¶?/>,745,917
67MHYS8,1394,908
EHTHQWM,1320,902
A.;T}+3,449,901
A3HW761,1046,901
ESG8RE8,708,899
A:[¶V=N,706,886
948S47B,1148,876
A:&/BGH,987,874
GJTSUGJ,505,863
^BWK{O5,942,861
A:]78{>,858,855
A:X5VH:,1016,851
^VEG3DN,926,844
GB8FSWM,1257,836
A.3C9@Z,984,829
"A¶,^*BZ",649,820
WFPDW5U,1171,819
9DPX4RF,836,819
Q55EUPC,1157,815
K5N94S8,1169,809
ARCFVX6,1154,807
^3?-Q8F,703,804
A=+H.{|,596,801
A.5DKH¶,1206,795
^+H¶R>E,898,792
¶P?(+QA,765,791
A:31C]7,608,787
RTSQQS8,1052,780
4DUUUQ5,935,776
A:V[({#,769,772
WQPKTQ5,870,763
A=¶Y<&D,965,761
RJX4WZR,1224,747
XQNGSMV,806,742
¶B.G9UF,1328,738
^@GR7{F,764,736
^*?B<)S,993,733
JRNJQC5,942,711
^Q#+JHL,477,709
2EQQTGJ,833,708
3XTXU7B,912,705
*/0?Y(T,810,703
¶-Z9H0C,835,703
QNKMVGJ,604,701
4GESU5U,1563,699
4MD9D2J,487,692
A=+4KQO,1543,672
A:[>{P6,919,670
^U¶#YHG,823,664
¶9+U.Y9,586,646
A.?#^Q@,657,643
^©(#9EG,939,642
WHPQWQ5,1053,638
J4S9YBC,1088,637
RS7KY1M,1414,632
^MO@K.4,895,628
A=1S)*G,689,620
^GM6WD2,429,608
A=(X7+E,836,583
9SPJVT9,385,578
*!8[{90,916,576
A:|©J>©,762,567
"A:D:,Q©",787,558
A={|JV4,692,554
PQTPTRF,889,553
"^1:X,)1",1141,549
"A.A^,2)",1100,548
ADN581M,440,545
^KA=9XE,1227,534
A.O7C3*,722,534
¶AL;{-L,739,529
A=EMX*8,620,528
XFEPU5U,890,525
K8Q5RS8,906,518
A=>P($K,727,518
PWY4QC5,848,515
¶4])G?H,685,507
7KFJT4W,924,506
QMRDUE8,743,501
A:}N_W5,423,490
"^81,Z¶S",268,490
^$V?DO6,736,486
XY95SX6,1169,485
A=O}3W{,564,480
A:|WEVO,715,479
^}V#;}F,823,479
^!&¶[6P,757,478
A.A^.?.,1016,464
GPDT4BC,657,463
K9CSSGJ,612,458
A.G-12X,610,448
SNDY4X6,642,435
A:3$/=1,921,434
A.A^^[_,930,431
QSTJSPC,602,425
"A:,9:T¶",535,423
"A.A^,)6",1002,422
A:>O?(H,576,420
A¶©:PXK,724,413
YKC8SX6,687,413
A¶;PS!A,680,406
A.K[*DH,622,400
A.4©|;P,569,399
¶B2X>&7,451,398
¶G-?GB3,701,395
¶=EE/]Z,745,389
A:UZ-M7,872,389
A=NL::<,991,388
PECC4HQ,1096,387
A.P3{WW,486,385
¶G)3(GO,686,384
"A.A^,^)",869,384
^ZZBG¶L,627,383
JQ9RSRF,805,378
A¶.¶$*[,497,376
A=@L¶+$,345,371
A¶#©Y}G,411,368
A:*MFDP,360,359
¶T3S}JT,498,359
"A¶,L5+H",850,359
A.Y<8|[,678,358
¶J|©1MM,678,353
A.=6!(&,534,353
A.27FG©,537,353
A.<M@9T,783,350
A:O4?OP,308,349
A.=6![I,511,347
A.EI:#M,1013,341
A:H95BI,884,341
A=E|3;@,544,333
A:Q5Y|¶,588,326
Q3HPD1M,534,326
YWHRSUX,426,326
D5UWDE8,406,325
R5X5SDF,594,324
"A¶,<:LS",506,321
A.:(6/$,502,319
^FF*(63,581,316
QKJYQ9E,429,311
*?F72GD,565,296
^|#<5}Z,649,295
A:F52-D,815,295
A:¶7RK©,335,292
A.*MY&&,510,283
^@7]©D3,608,283
NK854WM,652,279
^BHL>:L,455,275
A:Q¶O<I,525,274
^@A}K/0,533,271
A=N6:R$,594,269
A.A^^T{,681,269
^<=T024,479,268
2K3WTS8,830,267
A.&D-MS,398,265
¶Q:;}MH,721,264
A=+N9U¶,517,263
A.3!©M#,413,263
A:H&6EP,504,261
"A:_;8,>",363,261
