userid,pazienti,prescrizioni
A.@{&QY,335,124
^<=T024,479,123
A=00¶N3,279,120
¶J|©1MM,678,120
A:H&6EP,504,120
A.-PHS1,430,119
¶AL;{-L,739,116
PPD4DT9,709,115
¶Q:;}MH,721,114
A.9!}2<,423,113
A:2^;=/,454,113
^GM6WD2,429,112
^.V{*?1,354,110
HPTKU7B,1718,109
A.&P_TD,312,107
PECC4HQ,1096,107
SGQYWS8,1889,101
A:1¶?/>,745,101
^W=©95V,455,100
¶CP:E0L,711,99
A=E|3;@,544,96
D5UWDE8,406,95
A:OBQ=Z,604,94
A:SG)&L,319,89
A.1*E{N,303,88
A.0PG@¶,295,83
"A.@¶W,K",205,83
"^@D]*,7",341,82
A=EW|7B,446,80
Q5T9Q3Q,177,80
NK854WM,652,76
A.4N#0A,119,76
¶X*..[9,399,75
A:++=E©,305,75
¶R$C;C2,492,74
MMGWUGJ,248,72
A=X-©$0,342,69
A:X)[K3,251,69
2GR6TPC,285,69
A.DGIC>,225,68
A.}©9P[,358,66
A.L;V8<,441,66
A.Y]1J|,264,66
^@88T/3,199,65
*!8[{90,916,64
WQRHSPC,1755,63
CPNWSFM,530,63
¶57^Z-H,236,62
¶*4/>3I,450,61
A=$$P(@,523,61
67QP42J,308,60
"A=)),24",1145,58
"A=©KB9,",105,57
A¶;O-©{,310,56
A=QY¶UC,154,56
A.^$VDX,206,55
A.G0**?,391,55
A.=LV07,155,54
¶¶/4.!1,336,54
A.S|C5@,242,53
A.US=OC,155,53
NTEQT7B,198,52
A.RN7?7,266,52
A.UZ?ZV,199,51
A.X#&JV,174,50
A.D#©G-,197,49
A.]X1JH,221,48
A.U©FIM,208,48
A.?+|/5,163,48
967XUNA,267,48
A:OKU)2,210,47
A=Z;#!P,20,47
9SPJVT9,385,46
A=KTX-D,58,46
A.<]_|0,132,46
PDYCUC5,247,46
A.U|;^_,212,45
A.V6+Z=,164,44
A:UZ-M7,872,43
A.*<|D{,154,43
466TDYM,212,43
A=2>T.;,174,43
A:9[9*<,172,43
XBWWUUX,241,43
A.PJ^U!,233,42
A:G}1TQ,233,39
A.W@*CU,182,39
A.LA;RM,198,38
A./K+FO,173,38
A¶_F9T{,410,37
A:[}[?<,100,36
A=QOO:_,246,36
"A=¶:,@[",136,36
A:)/++6,168,35
EFWSVFM,83,35
A:RZ#<T,134,35
^C3K#WS,77,34
A:XEPJ9,124,34
A.YPGUE,258,34
A=>ZEFR,168,33
¶C+=3{M,219,33
A.BV9V],218,33
"A¶,<^(0",355,33
A.C>@PI,191,33
A.QK:]5,113,32
A.-W)>],110,32
A.}A#5^,148,32
KRWTQRF,171,31
JHKKTT9,129,30
A:M^VH8,108,30
^]2A3)B,188,30
A.^©NWV,122,30
A.59-3G,139,29
A=PZ¶-L,135,29
A./N]0V,105,28
"A.(/,A8",146,28
A.^>/.:,104,27
A.E#P7M,97,27
A.UT/0_,119,27
A=<Q<=¶,143,26
A:J<Y9R,1185,26
A.^RT}/,101,25
WYPFRYM,145,24
A=F2CSL,132,24
A.*F©5J,81,24
A.{RI1),73,24
A==J^@2,135,24
2ET6RNA,74,23
JRCUV61,85,23
^K#!WCM,88,22
A=TY¶GH,92,22
"A,1{+D@",107,22
*#U:|!Q,167,22
KEMCVKA,873,22
A.*[<5¶,113,22
A.USQYL,70,21
A:_+Z3D,90,21
A.XIFJE,117,21
A=2?ZTP,76,20
A.CBZV!,103,20
R4KUVT9,145,20
A.E$WB0,148,20
"A.T!2],",100,20
"A,1©I[P",68,20
E6TWYZR,62,20
PWWMU1M,219,19
A.XY.TY,106,19
PWY4QC5,848,19
A.XY)©!,86,19
"A,1@G&>",78,19
A.U9?}J,151,19
A.UC&1A,73,19
"A.B,NCL",99,19
A=*Z@;@,555,19
A.>!1.W,93,18
^?F5]Q4,94,18
A::8).*,87,18
"A.@8AT,",72,18
9NQFYQ5,173,18
A.L<]*9,104,18
7HTHRGJ,146,18
A.T??A},84,17
A.S3MMX,65,17
A.U9?.K,130,17
QYSR4BC,111,17
A.O^F/N,92,17
"A.*F&2,",83,17
A./OY3©,58,17
A.{$=OE,71,17
HN37WQ5,110,17
A.*&5Q_,65,17
A.UDXDD,50,17
A=¶81^-,19,17
A.3)|#1,27,17
A.C[:I/,101,17
A.S@3[2,86,17
A.5-3EA,91,16
A.H¶#?>,47,16
A:MDWOJ,72,16
"A.QLOF,",43,16
"A,08|Z2",42,16
A.UQ6L<,51,15
A.|}8L©,117,15
A.*)¶B.,60,15
A=^<.TT,77,14
A.*/#VQ,52,14
"A,2MF]2",42,14
6X3CD5U,115,14
A.^[TX[,45,14
^W>9!AR,124,13
A.¶S©)X,65,13
A.R0)^#,50,13
A.R{D©E,39,13
A.D10O],59,13
A=(;GZS,14,13
A./QU2M,56,13
A.S!_N¶,28,12
A==I©ZM,62,12
A=KTXXU,41,12
A:287HS,58,12
A:2^;*T,153,12
A.XT-?6,69,12
A.V}8#=,45,12
ATW6SPC,108,12
A.FONZO,176,12
A.C/_KR,53,12
A.36HT^,40,12
A.{#H#Y,64,12
PPKU4JV,108,12
"A,0${$(",68,12
3SHUYT9,65,12
2R9RDNA,140,12
A.^$4R{,47,11
A.UZV}Y,45,11
A.V5@.W,61,11
A.ZEK4{,165,11
A:@2U|0,28,11
"A.$U,&Y",39,11
A.¶3?<H,35,11
A.C©!O[,50,11
A.^LSNF,57,11
A:.DX0=,65,11
A=F26*W,54,11
HWFYSMV,92,10
